	568_4_R1_filtered.fastq.gz	568_5_R1_filtered.fastq.gz	581_5_R1_filtered.fastq.gz	611_5_R1_filtered.fastq.gz	E03_5_R1_filtered.fastq.gz	E05_5_R1_filtered.fastq.gz	E1_4_R1_filtered.fastq.gz	E1_5_R1_filtered.fastq.gz	E2_4_R1_filtered.fastq.gz	E2_5_R1_filtered.fastq.gz	E3_4_R1_filtered.fastq.gz	E3_5_R1_filtered.fastq.gz	Neg1_S148_R1_filtered.fastq.gz	Neg2_S249_R1_filtered.fastq.gz
ASV_1	6521	578	367	67	115	1785	11179	1007	489	398	992	102	0	0
ASV_2	578	107	64	23	15	20	19837	103	2571	73	62	28	0	0
ASV_3	156	893	281	795	192	4147	643	1800	10668	557	811	2076	0	0
ASV_4	11281	1024	727	279	142	1228	1207	1135	528	591	1516	878	0	0
ASV_5	145	485	207	589	301	2638	143	383	2050	180	259	716	0	0
ASV_6	34	742	382	1312	490	1218	79	1459	798	431	205	513	0	0
ASV_7	63	752	248	194	177	1999	14	321	1269	255	123	1278	0	0
ASV_8	0	211	333	460	524	825	162	2314	338	307	550	381	0	0
ASV_9	50	35	0	0	0	19	1429	28	3582	26	242	53	0	0
ASV_10	3446	928	69	124	0	207	0	95	0	0	244	132	0	0
ASV_11	148	25	13	0	2	0	3655	15	915	25	34	17	0	0
ASV_12	0	73	396	67	27	208	0	530	771	1826	14	263	0	0
ASV_13	0	184	40	179	0	578	110	393	1971	107	132	382	0	0
ASV_14	554	150	40	139	17	205	1626	304	433	126	114	15	0	0
ASV_15	0	145	95	70	0	853	0	1304	352	811	0	57	0	0
ASV_16	0	0	0	0	97	0	0	0	483	2274	19	155	0	0
ASV_17	0	166	258	181	218	870	0	61	144	785	14	236	0	0
ASV_18	0	0	0	41	0	0	559	82	1372	76	0	37	0	0
ASV_19	29	77	8	25	15	613	402	105	305	116	421	41	0	0
ASV_20	0	93	138	116	103	465	0	265	0	0	19	326	0	0
ASV_21	0	107	169	0	0	0	0	440	92	426	17	232	0	0
ASV_22	0	53	0	0	0	150	0	440	267	431	0	0	0	0
ASV_23	0	167	365	82	7	438	0	115	8	9	0	108	0	0
ASV_24	0	94	11	9	121	451	0	344	17	118	14	98	0	0
ASV_25	0	0	145	0	53	56	0	180	94	732	0	0	0	0
ASV_26	0	0	0	0	0	0	0	133	142	945	0	0	0	0
ASV_27	0	168	174	156	177	299	0	27	0	96	15	99	0	0
ASV_28	0	82	0	24	0	0	0	0	48	798	15	190	0	0
ASV_29	0	30	27	526	19	138	0	139	70	71	13	105	0	0
ASV_30	0	0	505	0	48	0	0	0	0	0	28	487	0	0
ASV_31	0	10	0	0	0	0	0	116	186	693	0	0	0	0
ASV_32	0	15	43	64	0	229	0	218	90	290	0	36	0	0
ASV_33	0	0	0	0	24	274	0	116	62	297	16	161	0	0
