	G196_III_R1_filtered.fastq.gz	G196_IV_R1_filtered.fastq.gz	G196_V_R1_filtered.fastq.gz	G197_III_R1_filtered.fastq.gz	G197_IV_R1_filtered.fastq.gz	G197_V_R1_filtered.fastq.gz	G198_III_R1_filtered.fastq.gz	G198_V_R1_filtered.fastq.gz	G199_III_R1_filtered.fastq.gz	G199_IV_R1_filtered.fastq.gz	G199_V_R1_filtered.fastq.gz	G200_III_R1_filtered.fastq.gz	G200_IV_R1_filtered.fastq.gz	G200_V_R1_filtered.fastq.gz	G201_III_R1_filtered.fastq.gz
ASV_1	15	139	28913	0	46	4813	0	15322	76	50	2821	0	3350	10754	12
ASV_2	30	239	25558	0	72	5349	0	5893	33	77	5057	13	3679	8712	12
ASV_3	17	152	18678	0	88	8824	0	12064	39	51	3201	0	2209	5485	0
ASV_4	577	1280	893	676	4264	2068	4300	1137	143	5647	222	324	9214	201	994
ASV_5	0	45	6082	0	37	2463	0	0	0	11	1058	0	2890	5949	0
ASV_6	5	74	9990	0	28	1434	0	1776	0	251	1414	6	1883	1239	49
ASV_7	0	83	4311	0	0	49	0	3118	11	18	825	0	3202	2320	0
ASV_8	0	50	4137	0	23	3887	0	908	0	0	738	0	1597	2213	0
ASV_9	0	27	5774	0	29	2185	0	948	14	12	737	0	1542	1651	6
ASV_10	5	34	5624	0	21	2143	0	3459	8	7	897	0	145	216	0
ASV_11	0	11	1925	0	17	4262	0	1752	0	115	2482	0	709	1051	42
ASV_12	0	42	4020	0	0	210	0	3242	0	19	1741	0	994	1186	0
ASV_13	0	0	0	0	0	0	0	10783	0	4	187	0	0	0	0
ASV_14	0	22	3732	0	18	1443	0	4082	0	0	468	0	433	578	0
ASV_15	0	14	2475	0	10	320	0	3321	0	144	337	0	1737	1077	16
ASV_16	0	42	3412	0	11	652	0	2362	12	20	879	0	754	946	0
ASV_17	4	22	4435	0	6	616	0	1126	3	0	459	0	560	869	0
ASV_18	119	0	32	63	0	5	3529	48	869	668	5	387	58	0	321
ASV_19	0	14	1810	0	4	422	0	602	0	8	119	0	2312	455	0
ASV_20	0	5	1974	0	7	688	0	2008	0	0	256	0	174	488	0
ASV_21	0	12	1086	0	12	877	0	1570	0	0	255	0	325	619	0
ASV_22	0	0	3612	0	0	0	0	701	0	0	302	0	0	0	0
ASV_23	0	12	1511	0	10	477	0	1554	0	0	195	0	291	512	0
ASV_24	0	0	2406	0	14	1075	3	332	4	0	106	0	282	302	0
ASV_25	0	0	1855	0	10	494	0	877	0	6	0	0	679	565	0
ASV_26	0	14	2146	0	0	144	0	267	4	0	303	0	778	642	0
ASV_27	0	12	1039	0	0	768	0	2183	0	0	131	0	0	0	0
ASV_28	0	0	508	0	0	923	0	781	0	0	262	0	964	694	0
ASV_29	0	0	1039	0	0	0	0	1487	0	6	71	0	513	648	0
ASV_30	0	30	1180	0	0	565	0	836	0	0	0	0	495	391	0
ASV_31	0	8	651	0	8	462	0	1132	6	11	117	0	233	203	13
ASV_32	0	0	780	0	0	0	0	469	15	12	1282	0	137	86	0
ASV_33	0	18	2166	0	0	141	0	74	0	0	119	0	68	176	0
ASV_34	0	0	1309	0	0	189	0	320	0	0	248	0	253	418	0
ASV_35	0	7	1213	0	0	133	0	381	15	27	678	0	104	159	0
ASV_36	0	9	1113	0	3	330	0	461	0	0	193	0	301	273	0
ASV_37	0	13	1889	0	2	278	0	418	0	0	45	0	0	0	0
ASV_38	0	14	1102	0	0	614	0	434	0	0	57	0	45	149	0
ASV_39	0	0	568	0	0	95	0	661	0	0	29	0	456	605	0
ASV_40	0	21	1019	0	0	131	0	466	0	0	247	0	272	233	0
ASV_41	0	11	738	0	0	212	0	206	0	0	154	0	225	519	0
ASV_42	0	0	834	0	0	90	0	489	0	0	300	0	169	140	0
ASV_43	0	0	808	0	0	141	0	465	0	0	60	0	97	298	0
ASV_44	0	0	647	0	0	177	0	92	0	0	157	0	236	463	0
ASV_45	0	0	786	0	0	219	0	508	0	0	44	0	43	121	0
ASV_46	0	0	851	0	42	808	0	0	0	0	0	0	0	0	0
ASV_47	0	0	447	0	0	64	0	190	0	11	98	0	403	342	0
