	SRR19856781_R1_filtered.fastq.gz	SRR19856782_R1_filtered.fastq.gz
ASV_1	7136	1002
ASV_2	4378	1995
ASV_3	1972	1565
ASV_4	2708	233
ASV_5	2058	398
ASV_6	266	1299
ASV_7	893	628
ASV_8	761	636
ASV_9	319	595
ASV_10	653	172
ASV_11	406	334
ASV_12	482	236
ASV_13	266	367
ASV_14	504	128
ASV_15	384	246
ASV_16	336	251
ASV_17	577	0
ASV_18	337	214
ASV_19	531	0
ASV_20	23	501
ASV_21	128	377
ASV_22	398	52
ASV_23	200	176
ASV_24	189	187
ASV_25	277	92
ASV_26	163	206
ASV_27	211	150
ASV_28	239	100
ASV_29	285	42
ASV_30	108	191
ASV_31	115	178
ASV_32	227	51
ASV_33	277	0
ASV_34	189	87
ASV_35	58	210
ASV_36	192	65
ASV_37	196	54
ASV_38	245	0
ASV_39	244	0
ASV_40	104	135
ASV_41	170	60
ASV_42	100	126
ASV_43	84	140
ASV_44	100	122
ASV_45	110	106
ASV_46	162	48
ASV_47	85	121
ASV_48	110	88
ASV_49	117	75
ASV_50	104	87
ASV_51	83	106
ASV_52	177	0
ASV_53	176	0
ASV_54	81	93
ASV_55	81	89
ASV_56	53	108
ASV_57	159	0
ASV_58	0	156
ASV_59	92	61
ASV_60	29	124
ASV_61	71	76
ASV_62	104	39
ASV_63	83	60
ASV_64	90	50
ASV_65	140	0
ASV_66	63	76
ASV_67	100	39
ASV_68	102	35
ASV_69	72	65
ASV_70	88	45
ASV_71	90	43
ASV_72	131	0
ASV_73	130	0
ASV_74	73	56
ASV_75	129	0
ASV_76	122	5
ASV_77	59	68
ASV_78	68	59
ASV_79	53	73
ASV_80	0	122
ASV_81	84	37
ASV_82	120	0
ASV_83	118	0
ASV_84	95	20
ASV_85	25	90
ASV_86	86	28
ASV_87	71	40
ASV_88	87	22
ASV_89	31	78
ASV_90	65	42
ASV_91	107	0
ASV_92	107	0
ASV_93	65	42
ASV_94	61	45
ASV_95	73	31
ASV_96	103	0
ASV_97	49	54
ASV_98	51	51
ASV_99	102	0
ASV_100	58	43
ASV_101	54	45
ASV_102	0	97
ASV_103	73	23
ASV_104	96	0
ASV_105	95	0
ASV_106	95	0
ASV_107	94	0
ASV_108	72	22
ASV_109	26	67
ASV_110	58	34
ASV_111	0	92
ASV_112	91	0
ASV_113	91	0
ASV_114	0	91
ASV_115	46	44
ASV_116	59	31
ASV_117	39	51
ASV_118	60	30
ASV_119	42	48
ASV_120	49	40
ASV_121	68	21
ASV_122	88	0
ASV_123	64	24
ASV_124	88	0
ASV_125	53	35
ASV_126	0	88
ASV_127	30	57
ASV_128	84	0
ASV_129	38	46
ASV_130	0	84
ASV_131	0	83
ASV_132	82	0
ASV_133	81	0
ASV_134	31	50
ASV_135	45	35
ASV_136	79	0
ASV_137	5	74
ASV_138	0	79
ASV_139	0	79
ASV_140	55	23
ASV_141	49	29
ASV_142	28	49
ASV_143	46	31
ASV_144	10	67
ASV_145	53	23
ASV_146	48	26
ASV_147	0	74
ASV_148	0	74
ASV_149	55	18
ASV_150	17	56
ASV_151	40	33
ASV_152	61	11
ASV_153	33	39
ASV_154	72	0
ASV_155	71	0
ASV_156	38	33
ASV_157	71	0
ASV_158	0	71
ASV_159	18	52
ASV_160	42	27
ASV_161	42	27
ASV_162	20	48
ASV_163	42	26
ASV_164	68	0
ASV_165	0	68
ASV_166	67	0
ASV_167	18	49
ASV_168	67	0
ASV_169	28	39
ASV_170	30	37
ASV_171	0	67
ASV_172	41	25
ASV_173	11	55
ASV_174	65	0
ASV_175	40	25
ASV_176	0	65
ASV_177	40	24
ASV_178	35	29
ASV_179	16	48
ASV_180	36	28
ASV_181	63	0
ASV_182	43	20
ASV_183	63	0
ASV_184	35	28
ASV_185	25	37
ASV_186	0	62
ASV_187	49	12
ASV_188	39	22
ASV_189	48	11
ASV_190	45	14
ASV_191	27	32
ASV_192	32	27
ASV_193	42	16
ASV_194	33	25
ASV_195	42	16
ASV_196	40	17
ASV_197	25	32
ASV_198	57	0
ASV_199	21	36
ASV_200	33	24
ASV_201	56	0
ASV_202	31	25
ASV_203	41	15
ASV_204	42	14
ASV_205	56	0
ASV_206	56	0
ASV_207	23	32
ASV_208	54	0
ASV_209	48	6
ASV_210	54	0
ASV_211	0	54
ASV_212	0	54
ASV_213	31	22
ASV_214	15	38
ASV_215	0	53
ASV_216	41	11
ASV_217	40	12
ASV_218	52	0
ASV_219	30	22
ASV_220	52	0
ASV_221	52	0
ASV_222	52	0
ASV_223	40	11
ASV_224	13	38
ASV_225	31	20
ASV_226	42	8
ASV_227	40	10
ASV_228	50	0
ASV_229	50	0
ASV_230	32	18
ASV_231	50	0
ASV_232	49	0
ASV_233	49	0
ASV_234	49	0
ASV_235	49	0
ASV_236	29	20
ASV_237	23	26
ASV_238	21	28
ASV_239	0	49
ASV_240	15	33
ASV_241	48	0
ASV_242	47	0
ASV_243	32	15
ASV_244	47	0
ASV_245	17	30
ASV_246	47	0
ASV_247	0	47
ASV_248	0	47
ASV_249	46	0
ASV_250	46	0
ASV_251	30	16
ASV_252	22	24
ASV_253	0	46
ASV_254	45	0
ASV_255	44	0
ASV_256	14	30
ASV_257	0	44
ASV_258	43	0
ASV_259	43	0
ASV_260	15	28
ASV_261	19	24
ASV_262	0	43
ASV_263	22	20
ASV_264	42	0
ASV_265	42	0
ASV_266	26	16
ASV_267	0	42
ASV_268	19	22
ASV_269	22	18
ASV_270	40	0
ASV_271	0	40
ASV_272	0	40
ASV_273	39	0
ASV_274	39	0
ASV_275	25	14
ASV_276	22	17
ASV_277	39	0
ASV_278	38	0
ASV_279	38	0
ASV_280	38	0
ASV_281	38	0
ASV_282	38	0
ASV_283	38	0
ASV_284	0	38
ASV_285	0	38
ASV_286	18	19
ASV_287	16	21
ASV_288	0	37
ASV_289	0	37
ASV_290	18	18
ASV_291	36	0
ASV_292	14	22
ASV_293	0	36
ASV_294	0	36
ASV_295	35	0
ASV_296	35	0
ASV_297	29	6
ASV_298	0	35
ASV_299	13	21
ASV_300	16	18
ASV_301	14	20
ASV_302	0	34
ASV_303	33	0
ASV_304	27	6
ASV_305	19	14
ASV_306	0	33
ASV_307	32	0
ASV_308	32	0
ASV_309	20	12
ASV_310	32	0
ASV_311	0	32
ASV_312	0	32
ASV_313	31	0
ASV_314	31	0
ASV_315	19	12
ASV_316	22	9
ASV_317	31	0
ASV_318	16	15
ASV_319	20	10
ASV_320	30	0
ASV_321	21	9
ASV_322	11	19
ASV_323	30	0
ASV_324	19	11
ASV_325	30	0
ASV_326	30	0
ASV_327	0	30
ASV_328	0	30
ASV_329	0	30
ASV_330	0	30
ASV_331	0	30
ASV_332	29	0
ASV_333	29	0
ASV_334	29	0
ASV_335	29	0
ASV_336	15	14
ASV_337	11	18
ASV_338	29	0
ASV_339	29	0
ASV_340	0	29
ASV_341	0	29
ASV_342	20	8
ASV_343	11	17
ASV_344	28	0
ASV_345	0	28
ASV_346	0	28
ASV_347	27	0
ASV_348	27	0
ASV_349	19	8
ASV_350	0	27
ASV_351	0	27
ASV_352	19	7
ASV_353	26	0
ASV_354	26	0
ASV_355	26	0
ASV_356	13	13
ASV_357	15	11
ASV_358	26	0
ASV_359	0	26
ASV_360	13	12
ASV_361	25	0
ASV_362	25	0
ASV_363	0	25
ASV_364	0	25
ASV_365	0	25
ASV_366	0	25
ASV_367	0	25
ASV_368	24	0
ASV_369	24	0
ASV_370	24	0
ASV_371	0	24
ASV_372	0	24
ASV_373	0	24
ASV_374	0	24
ASV_375	0	24
ASV_376	0	24
ASV_377	23	0
ASV_378	20	3
ASV_379	19	4
ASV_380	23	0
ASV_381	14	9
ASV_382	23	0
ASV_383	23	0
ASV_384	10	13
ASV_385	0	23
ASV_386	0	23
ASV_387	0	23
ASV_388	0	23
ASV_389	0	23
ASV_390	0	23
ASV_391	22	0
ASV_392	22	0
ASV_393	22	0
ASV_394	22	0
ASV_395	22	0
ASV_396	22	0
ASV_397	0	22
ASV_398	0	22
ASV_399	0	22
ASV_400	0	22
ASV_401	0	22
ASV_402	0	22
ASV_403	0	22
ASV_404	0	22
ASV_405	21	0
ASV_406	21	0
ASV_407	21	0
ASV_408	21	0
ASV_409	21	0
ASV_410	9	12
ASV_411	13	8
ASV_412	21	0
ASV_413	0	21
ASV_414	0	21
ASV_415	0	21
ASV_416	0	21
ASV_417	0	21
ASV_418	20	0
ASV_419	10	10
ASV_420	0	20
ASV_421	0	20
ASV_422	0	20
ASV_423	0	20
ASV_424	0	20
ASV_425	0	20
ASV_426	15	4
ASV_427	19	0
ASV_428	19	0
ASV_429	19	0
ASV_430	19	0
ASV_431	19	0
ASV_432	13	6
ASV_433	19	0
ASV_434	19	0
ASV_435	19	0
ASV_436	19	0
ASV_437	8	11
ASV_438	11	8
ASV_439	19	0
ASV_440	0	19
ASV_441	0	19
ASV_442	0	19
ASV_443	0	19
ASV_444	18	0
ASV_445	9	9
ASV_446	18	0
ASV_447	18	0
ASV_448	18	0
ASV_449	18	0
ASV_450	0	18
ASV_451	17	0
ASV_452	12	5
ASV_453	17	0
ASV_454	17	0
