"","TotalSeqs"
"568_4",498
"568_5",476
"581_5",480
"611_5",479
"E03_5",488
"E1_4",497
"E1_5",464
"E2_4",463
"E2_5",452
"E3_4",491
"E3_5",462
"G196_V",498
"G197_V",495
"G198_V",500
"G199_V",502
"G200_IV",497
"G200_V",500
"SRR17060822",501
"SRR17060823",503
"SRR17060825",499
"SRR17060826",499
"SRR17060828",500
"SRR17060840",500
"SRR17060841",501
"SRR17060842",500
"SRR17060843",500
"SRR17060844",498
"SRR17060816",500
"SRR17060817",500
"SRR17060818",499
"SRR17060819",500
"SRR17060820",502
"SRR17060821",502
"SRR17060824",499
"SRR17060830",502
"SRR17060831",497
"SRR17060832",496
"SRR17060833",497
"SRR17060834",436
"SRR17060835",494
"SRR17060836",501
"SRR17060837",433
"SRR17060838",498
"SRR17060846",499
"SRR17060847",500
"SRR19856781",449
"SRR19856782",471
"SRR21492517.fastq_NA",390
"SRR21492518.fastq_NA",427
"SRR21492519.fastq_NA",436
"SRR21492520.fastq_NA",500
"SRR21492521.fastq_NA",500
"SRR21492522.fastq_NA",493
"SRR21492523.fastq_NA",397
"SRR21492524.fastq_NA",424
"SRR21492525.fastq_NA",426
"SRR21492526.fastq_NA",415
"SRR21492527.fastq_NA",439
"SRR21492528.fastq_NA",497
"SRR21492529.fastq_NA",432
"SRR21492530.fastq_NA",449
"SRR21492531.fastq_NA",431
"SRR21492532.fastq_NA",426
"SRR21492533.fastq_NA",431
"SRR21492534.fastq_NA",416
"SRR21492535.fastq_NA",441
"SRR21492536.fastq_NA",408
"SRR21492537.fastq_NA",418
"SRR21492538.fastq_NA",451
"SRR21492539.fastq_NA",488
"SRR21492540.fastq_NA",400
"SRR21492541.fastq_NA",455
"SRR21492542.fastq_NA",402
"SRR21492543.fastq_NA",418
"SRR21492544.fastq_NA",423
"SRR21492545.fastq_NA",430
"SRR21492546.fastq_NA",431
"SRR21492547.fastq_NA",444
"SRR21492548.fastq_NA",444
"SRR21492549.fastq_NA",426
"SRR21492550.fastq_NA",512
