	SRR17060816_R1_filtered.fastq.gz	SRR17060817_R1_filtered.fastq.gz	SRR17060818_R1_filtered.fastq.gz	SRR17060819_R1_filtered.fastq.gz	SRR17060820_R1_filtered.fastq.gz	SRR17060821_R1_filtered.fastq.gz	SRR17060824_R1_filtered.fastq.gz	SRR17060830_R1_filtered.fastq.gz	SRR17060831_R1_filtered.fastq.gz	SRR17060832_R1_filtered.fastq.gz	SRR17060833_R1_filtered.fastq.gz	SRR17060834_R1_filtered.fastq.gz	SRR17060835_R1_filtered.fastq.gz	SRR17060836_R1_filtered.fastq.gz	SRR17060837_R1_filtered.fastq.gz	SRR17060838_R1_filtered.fastq.gz	SRR17060846_R1_filtered.fastq.gz	SRR17060847_R1_filtered.fastq.gz
ASV_1	17902	89532	92631	8201	76032	82127	41323	135	9	35799	39710	0	428	0	0	0	10	0
ASV_2	0	0	0	0	0	0	865	0	1197	29	5126	0	0	68531	34	11732	0	0
ASV_3	0	0	0	0	21	0	2341	0	0	156	14896	13	0	1569	41	32605	0	0
ASV_4	0	0	0	0	0	0	0	22	0	0	0	0	0	30326	0	0	0	0
ASV_5	3291	2406	411	3902	3357	2345	1375	0	203	1225	1767	0	2802	104	0	267	2004	795
ASV_6	35	437	2328	0	2034	1191	2698	0	50	523	1517	0	86	0	0	0	1068	4056
ASV_7	461	3092	2660	299	2503	2750	1283	0	0	1138	1089	0	0	0	0	0	0	0
ASV_8	13	280	799	24	847	644	1544	0	0	313	798	0	46	0	0	0	7429	1087
ASV_9	0	0	0	0	0	0	0	20	0	0	0	9011	0	0	4168	0	0	0
ASV_10	28	58	226	18	786	880	787	0	5265	423	1195	0	39	260	0	2494	207	19
ASV_11	0	9	30	72	96	483	13	2992	5218	1495	101	296	252	396	455	144	0	56
ASV_12	899	1496	192	940	520	2150	267	0	0	883	153	0	3611	0	0	0	146	20
ASV_13	0	0	0	0	0	0	34	0	0	0	174	0	0	725	25	8720	0	0
ASV_14	389	1659	1892	198	1474	1706	843	0	0	737	767	0	0	0	0	0	0	0
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	9165	0	0
ASV_16	1257	7910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	0	0	0	0	0	0	0	0	0	0	0	5871	0	0	3231	0	0	0
ASV_18	0	0	0	0	0	0	719	0	202	0	5031	0	0	397	0	2279	0	0
ASV_19	0	0	0	0	0	0	0	0	0	0	0	5425	0	0	3185	0	0	0
ASV_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7603	0	0
ASV_21	0	0	0	0	0	0	479	0	0	0	2604	0	0	45	0	4454	0	0
ASV_22	221	24	0	87	0	0	0	0	0	0	0	0	7188	0	0	0	8	0
ASV_23	280	59	84	1432	639	1166	236	12	0	502	117	0	2509	0	0	0	121	0
ASV_24	0	1	167	0	0	258	449	20	4801	148	340	0	0	473	0	483	0	0
ASV_25	0	0	0	0	0	0	257	11	3846	0	1791	0	0	44	7	1086	0	0
ASV_26	0	0	0	0	0	0	0	0	0	0	0	4410	0	0	2454	0	0	0
ASV_27	0	0	0	9	241	0	0	0	0	0	0	0	58	0	0	0	6447	0
ASV_28	25	329	1564	261	1156	1874	192	0	0	589	116	0	186	0	0	0	156	49
ASV_29	0	0	0	0	0	0	580	0	1689	0	3462	0	0	0	0	679	0	0
ASV_30	328	41	0	1503	0	0	0	0	0	0	0	0	4460	0	0	0	0	0
ASV_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6130	0	0
ASV_32	0	0	0	0	223	32	104	41	4731	0	295	0	27	54	0	293	23	208
ASV_33	795	135	25	1667	27	30	0	0	0	0	0	0	3040	0	0	0	0	0
ASV_34	0	0	0	0	0	0	0	0	0	0	0	3778	0	0	1621	0	0	0
ASV_35	0	0	0	0	0	0	0	0	0	0	0	3329	0	0	2062	0	0	0
ASV_36	0	0	0	0	0	0	472	0	0	21	4397	0	0	0	0	495	0	0
ASV_37	0	0	0	0	0	0	0	0	0	0	0	3526	0	0	1588	0	0	0
ASV_38	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	4865	0
ASV_39	0	175	353	0	0	1626	1152	0	0	664	634	0	0	0	0	0	95	235
ASV_40	0	0	319	10	1074	216	419	16	1559	123	480	0	0	0	0	146	104	427
ASV_41	0	0	0	87	1346	738	1202	0	0	346	1123	0	0	0	0	0	0	0
ASV_42	538	83	0	1147	0	0	0	0	0	0	0	0	3053	0	0	0	0	0
ASV_43	0	0	0	0	12	0	0	0	0	0	0	0	13	0	0	0	1188	3588
ASV_44	0	0	0	0	0	0	0	23	0	0	0	3475	0	0	1291	0	0	0
ASV_45	24	61	1070	0	302	138	448	0	1175	103	242	0	0	334	0	79	137	596
ASV_46	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	4589	0
ASV_47	10	77	150	0	199	173	281	0	0	79	1250	15	19	37	0	1815	249	250
ASV_48	0	0	0	521	1170	1614	256	0	0	746	135	0	0	0	0	28	35	0
ASV_49	22	41	686	0	1093	517	421	0	0	186	256	0	42	0	0	0	647	528
ASV_50	0	0	72	0	283	174	232	0	2914	84	235	0	12	0	0	187	50	148
ASV_51	231	32	0	404	0	0	0	0	0	0	0	0	3694	0	0	0	0	0
ASV_52	1565	292	0	32	0	0	0	0	0	0	0	0	2297	0	0	0	0	0
ASV_53	0	394	45	0	114	2112	254	0	0	850	108	0	0	0	0	0	266	23
ASV_54	0	0	0	0	0	0	0	0	0	0	0	2506	0	0	1611	0	0	0
ASV_55	150	0	0	253	0	1874	0	0	0	851	0	0	777	0	0	0	0	0
ASV_56	32	480	690	0	65	449	894	0	0	200	499	0	20	0	0	0	162	396
ASV_57	0	0	0	0	0	0	0	0	2941	0	79	0	0	295	0	517	0	0
ASV_58	0	47	806	0	0	1354	519	0	0	692	266	0	0	0	0	0	0	86
ASV_59	0	0	0	0	0	0	0	0	0	0	0	0	3682	0	0	0	0	0
ASV_60	0	0	0	0	0	0	0	0	0	0	0	1932	0	0	1702	0	0	0
ASV_61	0	76	279	0	1207	479	367	0	0	212	211	0	22	0	0	0	203	546
ASV_62	0	57	144	0	816	537	375	0	0	230	252	0	33	0	0	216	459	470
ASV_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3437	0	0
ASV_64	0	0	0	947	507	0	0	0	0	0	0	0	1479	0	0	0	287	75
ASV_65	0	0	497	32	122	799	353	0	0	413	166	0	287	0	0	0	511	63
ASV_66	0	0	0	0	0	0	0	0	0	0	0	2282	0	0	911	0	0	0
ASV_67	0	0	0	0	92	0	0	0	2686	0	68	0	0	0	0	249	0	0
ASV_68	0	0	0	0	0	0	0	0	1102	0	0	0	0	1803	0	155	0	0
ASV_69	0	0	0	242	0	0	0	0	0	0	0	0	2781	0	0	0	12	0
ASV_70	0	0	0	0	0	0	0	0	0	0	0	2602	0	0	426	0	0	0
ASV_71	0	85	588	0	126	304	396	0	0	86	191	0	0	0	0	0	1178	64
ASV_72	0	0	200	73	884	467	57	0	0	257	40	0	471	0	0	0	128	234
ASV_73	0	0	0	0	0	0	22	0	1885	0	181	0	0	0	0	722	0	0
ASV_74	489	77	0	674	0	0	0	0	0	0	0	0	1524	0	0	0	8	0
ASV_75	0	0	0	0	0	0	0	0	0	0	0	1724	0	0	958	0	0	0
ASV_76	0	0	0	814	358	0	0	0	0	0	0	0	1219	0	0	0	227	0
ASV_77	511	97	0	1812	0	0	0	0	0	0	0	0	141	0	0	0	0	0
ASV_78	0	0	0	0	0	798	672	0	0	362	727	0	0	0	0	0	0	0
