	ERR3585831_R1_filtered.fastq.gz	ERR3585834_R1_filtered.fastq.gz	ERR3585835_R1_filtered.fastq.gz	ERR3585837_R1_filtered.fastq.gz	ERR3585838_R1_filtered.fastq.gz	ERR3585840_R1_filtered.fastq.gz	ERR3585843_R1_filtered.fastq.gz	ERR3585844_R1_filtered.fastq.gz	ERR3585846_R1_filtered.fastq.gz
ASV_1	95	28	3245	5900	10108	36	2232	7564	0
ASV_2	119	77	6664	4655	8993	36	1661	4277	0
ASV_3	164	54	3743	4476	4028	51	2574	6359	0
ASV_4	782	2434	1184	1734	653	3018	5396	123	0
ASV_5	60	0	30	2275	2173	12	2325	1754	0
ASV_6	27	25	1660	0	0	10	2001	4285	0
ASV_7	0	0	0	2055	5081	0	0	0	0
ASV_8	45	0	142	2694	2279	0	707	896	0
ASV_9	36	17	2616	353	574	0	1112	1562	0
ASV_10	16	9	968	1844	2673	0	302	403	0
ASV_11	9	4	209	1386	2151	83	1175	741	0
ASV_12	20	16	1405	1615	2238	0	97	148	0
ASV_13	33	0	494	1692	1748	12	560	761	0
ASV_14	4	8	2303	767	920	50	404	577	0
ASV_15	49	17	837	976	995	140	1119	807	0
ASV_16	18	16	1366	294	544	0	907	1031	0
ASV_17	4	5	482	866	1394	0	129	359	0
ASV_18	7	9	619	726	1115	0	210	447	0
ASV_19	7	8	353	1008	1138	0	223	395	0
ASV_20	10	4	267	357	389	5	1560	309	0
ASV_21	0	0	539	867	1412	0	0	0	0
ASV_22	0	0	557	683	420	0	554	415	0
ASV_23	18	7	328	424	556	0	457	384	0
ASV_24	12	3	330	437	585	0	286	515	0
ASV_25	5	6	329	632	789	9	159	152	0
ASV_26	0	0	366	460	528	0	344	267	0
ASV_27	0	0	0	407	772	0	273	398	0
ASV_28	11	0	104	123	184	20	550	474	0
ASV_29	0	7	525	91	154	0	142	151	0
ASV_30	6	0	210	174	283	0	193	194	0
ASV_31	11	0	449	173	293	0	30	96	0
ASV_32	0	0	125	256	214	0	183	269	0
ASV_33	0	2	81	272	415	4	107	74	0
ASV_34	8	0	146	98	143	0	150	401	0
ASV_35	0	0	44	165	261	0	193	271	0
ASV_36	0	0	109	176	336	0	75	229	0
ASV_37	0	0	164	253	351	0	29	77	0
ASV_38	8	0	81	165	264	0	150	150	0
ASV_39	0	0	68	181	332	0	125	107	0
ASV_40	0	0	0	255	546	0	0	0	0
ASV_41	0	0	182	225	355	0	0	0	0
ASV_42	0	0	44	80	133	0	268	237	0
ASV_43	0	0	130	0	58	0	185	356	0
ASV_44	6	0	87	156	256	19	76	121	0
ASV_45	0	5	347	152	191	0	0	0	0
ASV_46	0	0	0	252	287	6	85	48	0
ASV_47	0	0	29	132	285	0	54	114	0
ASV_48	0	0	196	76	130	3	129	76	0
ASV_49	0	0	127	112	126	0	68	161	0
ASV_50	0	0	117	164	276	0	22	15	0
ASV_51	0	0	0	205	382	0	0	0	0
ASV_52	0	0	137	13	14	0	242	179	0
ASV_53	0	0	0	199	362	0	0	0	0
ASV_54	0	27	530	0	0	0	0	0	0
ASV_55	0	0	0	216	309	0	0	0	0
ASV_56	0	0	33	107	135	0	71	173	0
ASV_57	0	0	72	173	273	0	0	0	0
ASV_58	0	0	3	6	32	422	43	0	0
ASV_59	0	0	114	109	136	0	84	45	0
ASV_60	0	0	56	189	224	0	0	0	0
ASV_61	0	0	57	49	109	0	77	174	0
ASV_62	5	0	137	141	169	0	0	0	0
ASV_63	0	0	44	73	40	0	110	170	0
ASV_64	0	84	0	68	0	93	190	0	0
ASV_65	0	0	59	85	148	0	63	44	0
ASV_66	0	0	70	53	129	0	62	74	0
ASV_67	0	0	195	70	120	0	0	0	0
ASV_68	0	8	371	0	0	0	0	0	0
ASV_69	0	0	89	75	213	0	0	0	0
ASV_70	0	0	14	30	59	7	120	147	0
ASV_71	0	0	0	179	165	0	0	0	0
ASV_72	0	0	87	93	110	4	14	17	0
ASV_73	16	0	80	20	46	0	42	117	0
ASV_74	0	0	151	90	46	0	20	10	0
ASV_75	0	0	161	24	83	0	0	44	0
ASV_76	0	0	82	62	114	0	16	28	0
ASV_77	0	0	67	75	146	0	0	0	0
