	SRR21492517_R1_filtered.fastq.gz	SRR21492518_R1_filtered.fastq.gz	SRR21492519_R1_filtered.fastq.gz	SRR21492520_R1_filtered.fastq.gz	SRR21492521_R1_filtered.fastq.gz	SRR21492522_R1_filtered.fastq.gz	SRR21492523_R1_filtered.fastq.gz	SRR21492524_R1_filtered.fastq.gz	SRR21492525_R1_filtered.fastq.gz	SRR21492526_R1_filtered.fastq.gz	SRR21492527_R1_filtered.fastq.gz	SRR21492528_R1_filtered.fastq.gz	SRR21492529_R1_filtered.fastq.gz	SRR21492530_R1_filtered.fastq.gz	SRR21492531_R1_filtered.fastq.gz	SRR21492532_R1_filtered.fastq.gz	SRR21492533_R1_filtered.fastq.gz	SRR21492534_R1_filtered.fastq.gz	SRR21492535_R1_filtered.fastq.gz	SRR21492536_R1_filtered.fastq.gz	SRR21492537_R1_filtered.fastq.gz	SRR21492538_R1_filtered.fastq.gz	SRR21492539_R1_filtered.fastq.gz	SRR21492540_R1_filtered.fastq.gz	SRR21492541_R1_filtered.fastq.gz	SRR21492542_R1_filtered.fastq.gz	SRR21492543_R1_filtered.fastq.gz	SRR21492544_R1_filtered.fastq.gz	SRR21492545_R1_filtered.fastq.gz	SRR21492546_R1_filtered.fastq.gz	SRR21492547_R1_filtered.fastq.gz	SRR21492548_R1_filtered.fastq.gz	SRR21492549_R1_filtered.fastq.gz	SRR21492550_R1_filtered.fastq.gz	SRR21492551_R1_filtered.fastq.gz
ASV_1	9606	20949	176	109502	91073	72898	3187	4440	40828	2419	19179	102292	369	9526	8239	1826	1051	2049	10205	8858	659	16553	55408	3370	43806	25870	3762	16040	7411	4082	3871	4821	29425	68010	60492
ASV_2	1294	1398	1821	84	15	605	3501	14924	8168	9458	2770	63	656	2831	111	164	1682	1758	2759	3752	8130	25537	151	12907	97	632	12271	21	374	2912	22	4616	2053	2798	459
ASV_3	6467	8605	65	1059	223	1046	0	100	252	5160	1874	361	0	977	36	0	108	0	203	524	15	0	4052	333	1910	306	57	0	0	2997	5222	6250	2644	142	116
ASV_4	41	97	192	0	0	0	3157	34	6399	401	102	0	519	1550	633	2609	60	4553	0	3696	0	204	11	208	14	1923	312	228	2073	0	373	0	0	0	0
ASV_5	291	2078	780	0	0	0	1656	364	87	762	406	0	93	1042	322	294	343	0	1562	1389	2501	30	22	408	824	135	963	773	1307	2665	1253	1631	1040	9	0
ASV_6	610	1950	679	0	0	0	889	309	605	1333	1261	0	92	414	575	555	1884	155	1300	178	670	457	0	1058	613	1395	1173	1879	856	228	620	452	742	0	0
ASV_7	0	86	0	0	0	0	2076	102	519	0	0	0	0	0	957	0	3320	367	3566	911	0	1020	0	2481	0	209	54	360	387	3700	549	0	800	0	0
ASV_8	54	602	106	9	0	0	533	649	671	393	340	0	70	0	40	568	53	18	5613	123	269	195	0	99	1701	642	295	733	1657	3832	432	572	853	0	0
ASV_9	1141	979	659	0	0	0	1137	901	941	801	651	0	128	265	552	426	361	604	929	731	955	274	15	975	723	646	1092	1039	1189	737	471	761	962	8	0
ASV_10	94	362	596	0	0	0	765	90	198	82	656	0	275	189	726	2339	1075	186	248	186	1314	25	0	261	2049	249	970	680	384	1369	1096	275	690	0	0
ASV_11	245	366	652	0	0	4	1268	475	228	545	518	0	1988	577	1187	385	252	1708	189	1138	184	161	5	218	762	785	94	750	623	401	249	852	578	2	6
ASV_12	246	106	1384	0	0	0	562	248	306	614	146	0	1017	3550	0	0	589	808	440	220	0	301	0	1184	1195	1099	237	64	126	831	605	1161	131	0	0
ASV_13	126	75	249	0	0	0	908	158	371	212	312	0	376	217	612	1742	998	466	376	452	443	101	0	1271	93	444	1179	781	727	136	914	220	307	0	0
ASV_14	33	138	2220	0	0	0	60	147	2035	9	97	0	1098	85	253	1226	532	1076	0	209	1181	427	0	2498	8	104	149	74	110	0	150	0	41	0	0
ASV_15	0	0	40	0	0	0	0	266	0	1068	2908	0	580	0	589	601	0	0	0	0	0	0	9	760	0	0	1411	88	1115	0	3493	0	0	0	0
ASV_16	1006	305	371	0	0	0	696	918	444	533	370	0	109	201	225	507	398	334	299	696	665	122	0	361	361	523	574	468	664	464	369	370	495	9	0
ASV_17	242	74	189	0	0	0	336	744	447	105	202	0	4186	175	272	568	634	925	0	220	0	95	7	1096	23	320	1101	224	156	0	260	250	0	0	0
ASV_18	460	0	112	0	0	0	200	111	408	0	278	0	617	5123	371	40	743	887	429	0	94	52	0	624	101	672	323	0	0	441	119	484	84	0	0
ASV_19	66	0	465	0	0	0	745	39	76	0	811	0	3218	85	130	755	1328	745	0	138	95	25	0	2719	0	0	31	437	316	0	53	127	0	0	0
ASV_20	879	68	579	6	0	0	235	152	94	36	0	0	1200	102	90	1122	50	119	54	162	737	0	0	3047	197	259	741	44	81	717	659	234	458	0	0
ASV_21	1010	0	0	8	0	3	9	25	3	10	8	0	123	0	0	0	209	6	0	15	225	0	10024	13	0	0	170	0	0	0	0	2	0	0	0
ASV_22	1516	501	365	0	0	0	62	562	639	310	161	0	115	475	133	295	59	576	833	623	932	138	0	215	107	397	906	34	63	338	0	870	522	0	0
ASV_23	0	0	231	0	0	0	452	150	215	0	270	0	789	469	251	616	589	1857	32	643	621	81	0	809	77	519	1261	263	511	51	468	242	94	0	0
ASV_24	917	34	872	3	0	0	663	512	0	55	112	0	859	2002	65	49	653	164	0	68	892	712	0	0	585	0	509	0	58	578	0	86	324	0	0
ASV_25	0	0	336	0	0	0	0	0	0	122	259	0	0	102	0	905	369	59	0	211	299	0	0	639	59	0	188	1279	890	95	4466	143	303	0	0
