	SRR19856781_R1_filtered.fastq.gz	SRR19856782_R1_filtered.fastq.gz
ASV_1	1053	7626
ASV_2	2017	4504
ASV_3	1677	2140
ASV_4	235	2813
ASV_5	415	2230
ASV_6	1293	275
ASV_7	684	800
ASV_8	599	322
ASV_9	175	656
ASV_10	341	419
ASV_11	237	489
ASV_12	386	291
ASV_13	229	378
ASV_14	124	478
ASV_15	14	579
ASV_16	213	339
ASV_17	0	533
ASV_18	507	25
ASV_19	379	129
ASV_20	192	315
ASV_21	239	247
ASV_22	53	404
ASV_23	95	279
ASV_24	174	190
ASV_25	185	172
ASV_26	138	209
ASV_27	98	244
ASV_28	40	284
ASV_29	197	109
ASV_30	184	119
ASV_31	37	263
ASV_32	58	230
ASV_33	87	193
ASV_34	55	198
ASV_35	210	41
ASV_36	0	250
ASV_37	0	248
ASV_38	136	111
ASV_39	58	185
ASV_40	63	170
ASV_41	126	98
ASV_42	104	108
ASV_43	37	172
ASV_44	123	85
ASV_45	115	86
ASV_46	97	103
ASV_47	85	112
ASV_48	90	104
ASV_49	107	83
ASV_50	0	185
ASV_51	0	184
ASV_52	81	99
ASV_53	0	177
ASV_54	71	103
ASV_55	89	83
ASV_56	64	108
ASV_57	0	170
ASV_58	163	0
ASV_59	107	54
ASV_60	0	161
ASV_61	128	28
ASV_62	0	145
ASV_63	52	91
ASV_64	74	68
ASV_65	79	62
ASV_66	76	64
ASV_67	46	92
ASV_68	52	85
ASV_69	77	55
ASV_70	46	86
ASV_71	0	132
ASV_72	69	62
ASV_73	46	85
ASV_74	70	60
ASV_75	5	125
ASV_76	0	130
ASV_77	60	68
ASV_78	70	57
ASV_79	126	0
ASV_80	39	86
ASV_81	55	69
ASV_82	0	121
ASV_83	46	71
ASV_84	36	81
ASV_85	20	95
ASV_86	89	25
ASV_87	21	93
ASV_88	41	72
ASV_89	0	113
ASV_90	78	32
ASV_91	22	87
ASV_92	44	65
ASV_93	23	86
ASV_94	109	0
ASV_95	45	63
ASV_96	52	54
ASV_97	40	65
ASV_98	0	105
ASV_99	30	74
ASV_100	0	103
ASV_101	54	48
ASV_102	39	63
ASV_103	45	56
ASV_104	0	101
ASV_105	42	58
ASV_106	0	100
ASV_107	99	0
ASV_108	59	40
ASV_109	23	75
ASV_110	22	75
ASV_111	0	97
ASV_112	0	97
ASV_113	96	0
ASV_114	0	96
ASV_115	0	94
ASV_116	67	26
ASV_117	0	92
ASV_118	45	46
ASV_119	0	90
ASV_120	41	48
ASV_121	30	59
ASV_122	34	55
ASV_123	0	89
ASV_124	58	30
ASV_125	30	58
ASV_126	22	64
ASV_127	29	57
ASV_128	85	0
ASV_129	0	85
ASV_130	84	0
ASV_131	0	84
ASV_132	0	84
ASV_133	0	83
ASV_134	34	48
ASV_135	45	37
ASV_136	81	0
ASV_137	75	5
ASV_138	35	45
ASV_139	0	80
ASV_140	79	0
ASV_141	32	47
ASV_142	67	11
ASV_143	40	38
ASV_144	38	40
ASV_145	49	28
ASV_146	47	30
ASV_147	22	55
ASV_148	26	50
ASV_149	39	36
ASV_150	38	37
ASV_151	11	64
ASV_152	57	17
ASV_153	29	44
ASV_154	18	55
ASV_155	23	49
ASV_156	52	20
ASV_157	41	30
ASV_158	0	71
ASV_159	23	47
ASV_160	69	0
ASV_161	41	28
ASV_162	29	39
ASV_163	68	0
ASV_164	25	42
ASV_165	25	42
ASV_166	52	14
ASV_167	48	18
ASV_168	55	11
ASV_169	66	0
ASV_170	66	0
ASV_171	50	16
ASV_172	22	43
ASV_173	65	0
ASV_174	0	65
ASV_175	29	35
ASV_176	32	32
ASV_177	23	41
ASV_178	23	40
ASV_179	33	30
ASV_180	63	0
ASV_181	0	63
ASV_182	0	63
ASV_183	37	25
ASV_184	12	50
ASV_185	0	62
ASV_186	22	39
ASV_187	16	44
ASV_188	11	49
ASV_189	0	60
ASV_190	16	43
ASV_191	26	33
ASV_192	28	31
ASV_193	20	38
ASV_194	25	32
ASV_195	31	26
ASV_196	25	32
ASV_197	17	40
ASV_198	26	31
ASV_199	0	57
