Names,BioSample,AvgSpotLen,Bases,Bytes,Collection_Date,env_local_scale,env_medium,Experiment,Host_Diet,Host,Library Name,create_date,Sample Name,replicate,Region,Location,Sex,Sample_or_Control
SRR21492533,SAMN30732762,272,23734490,11850353,9/25/15,Hindgut,fish gut,SRX17495893,Faunivorous Corallivore,Centropyge eibli,Centropyge_eibli_Hindgut_76,2022-09-12T11:49:00Z,CE_76_V,,Oceania,Christmas Island,,Sample
SRR21492534,SAMN30732761,272,29317816,14292752,9/25/15,Hindgut,fish gut,SRX17495892,Faunivorous Corallivore,Centropyge eibli,Centropyge_eibli_Hindgut_60,2022-09-11T21:57:00Z,CE_60_V,,Oceania,Christmas Island,,Sample
SRR21492535,SAMN30732760,273,28205020,15198977,9/25/15,Hindgut,fish gut,SRX17495891,Faunivorous Corallivore,Centropyge eibli,Centropyge_eibli_Hindgut_51,2022-09-11T22:44:00Z,CE_51_V,,Oceania,Christmas Island,,Sample
SRR21492536,SAMN30732759,272,29728295,14748303,9/25/15,Hindgut,fish gut,SRX17495890,Faunivorous Corallivore,Centropyge eibli,Centropyge_eibli_Hindgut_48,2022-09-11T21:57:00Z,CE_48_V,,Oceania,Christmas Island,,Sample
SRR21492537,SAMN30732758,272,33539394,17569134,9/25/15,Hindgut,fish gut,SRX17495889,Faunivorous Corallivore,Centropyge eibli,Centropyge_eibli_Hindgut_45,2022-09-11T22:00:00Z,CE_45_V,,Oceania,Christmas Island,,Sample
SRR21492538,SAMN30732757,273,35735341,18543971,9/25/15,Hindgut,fish gut,SRX17495888,Faunivorous Corallivore,Centropyge eibli,Centropyge_eibli_Hindgut_10,2022-09-11T23:05:00Z,CE_10_V,,Oceania,Christmas Island,,Sample
SRR21492540,SAMN30732756,272,27412839,13602222,9/25/15,Hindgut,fish gut,SRX17495886,Faunivorous Corallivore,Centropyge eibli,Centropyge_eibli_Hindgut_1,2022-09-11T22:00:00Z,CE_1_V,,Oceania,Christmas Island,,Sample
SRR21492517,SAMN30732746,272,35527589,17351622,9/25/15,Hindgut,fish gut,SRX17495909,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Hindgut_110,2022-09-11T21:58:00Z,CF_110_V,,Oceania,Christmas Island,,Sample
SRR21492518,SAMN30732745,272,31495510,15465604,9/25/15,Hindgut,fish gut,SRX17495908,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Hindgut_107,2022-09-11T21:57:00Z,CE_107_V,,Oceania,Christmas Island,,Sample
SRR21492519,SAMN30732744,273,27635825,14960116,9/25/15,Hindgut,fish gut,SRX17495907,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Hindgut_102,2022-09-11T22:34:00Z,CE_102_V,,Oceania,Christmas Island,,Sample
SRR21492520,SAMN30732743,273,31866818,15103441,9/25/15,Midgut,fish gut,SRX17495906,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Midgut_CF124,2022-09-11T21:59:00Z,CF_124_IV,,Oceania,Christmas Island,,Sample
SRR21492521,SAMN30732742,273,25568823,12378988,9/25/15,Midgut,fish gut,SRX17495905,Faunivorous Corallivore,Centropyge flavissima,Centropyge_flavissima_Midgut_CF123,2022-09-11T22:11:00Z,CF_123_IV,,Oceania,Christmas Island,,Sample
